,Topic,time,text_language,job_type,external_url,phone_contact,delta_salary
2401,3.0,2021,pl,C Manufacturing,yes,yes,-12.3
2402,5.0,2021,en,F Construction,yes,yes,10.3
2403,4.0,2021,en,"A Agriculture, forestry and fishing",yes,yes,17.28
2404,5.0,2021,en,C Manufacturing,yes,yes,27.7
2405,6.0,2021,en,H Transportation and storage,yes,yes,5.780346820809249
2406,5.0,2021,en,F Construction,yes,yes,19.3
2407,5.0,2021,en,F Construction,yes,yes,28.3
2408,5.0,2021,en,F Construction,yes,yes,28.3
2409,6.0,2021,en,S Other service activities,yes,yes,-7.710000000000001
2410,5.0,2021,en,H Transportation and storage,no,yes,35.0
2411,5.0,2021,en,None,no,yes,17.341040462427745
2412,5.0,2021,en,F Construction,yes,yes,10.3
2413,0.0,2021,pl,C Manufacturing,yes,yes,-10.3
2414,4.0,2021,en,H Transportation and storage,no,yes,8.670520231213873
2415,4.0,2021,en,G Wholesale and retail trade,yes,yes,-8.21
2416,5.0,2021,en,F Construction,yes,yes,10.3
2417,5.0,2021,en,C Manufacturing,yes,yes,9.7
2418,5.0,2021,en,G Wholesale and retail trade,yes,yes,24.13
2419,5.0,2021,en,C Manufacturing,yes,yes,9.7
2420,5.0,2021,en,F Construction,yes,yes,10.3
2421,5.0,2021,en,H Transportation and storage,yes,yes,35.0
2422,5.0,2021,en,C Manufacturing,yes,yes,9.7
2423,4.0,2021,en,C Manufacturing,yes,yes,9.7
2424,0.0,2021,pl,F Construction,yes,yes,0.3000000000000007
2425,7.0,2021,en,C Manufacturing,yes,yes,9.7
2426,5.0,2021,en,G Wholesale and retail trade,no,yes,15.129999999999999
2427,4.0,2021,en,G Wholesale and retail trade,yes,yes,-8.620000000000001
2428,4.0,2021,en,C Manufacturing,no,yes,-10.8
2429,5.0,2021,en,F Construction,no,yes,-7.199999999999999
2430,7.0,2015,nl,H Transportation and storage,no,yes,-3.0199999999999996
2431,7.0,2015,nl,H Transportation and storage,no,yes,-3.0199999999999996
2432,7.0,2015,nl,H Transportation and storage,no,yes,-3.0199999999999996
2433,5.0,2019,pl,C Manufacturing,yes,yes,-13.469999999999999
2434,0.0,2019,pl,C Manufacturing,yes,yes,-8.399999999999999
2435,5.0,2019,pl,C Manufacturing,yes,yes,-11.399999999999999
2436,5.0,2020,en,C Manufacturing,yes,yes,12.7
2437,5.0,2019,ro,G Wholesale and retail trade,yes,yes,14.61
2438,5.0,2020,en,C Manufacturing,no,yes,-13.72
2439,6.0,2020,nl,C Manufacturing,no,yes,-13.21
2440,5.0,2020,en,H Transportation and storage,no,yes,-10.870000000000001
2441,5.0,2019,en,C Manufacturing,yes,yes,-12.139999999999999
2442,7.0,2019,en,G Wholesale and retail trade,yes,yes,-8.610000000000001
2443,5.0,2019,en,C Manufacturing,yes,yes,-14.399999999999999
2444,5.0,2019,en,None,yes,yes,12.67
2445,5.0,2019,en,H Transportation and storage,yes,yes,-9.49
2446,4.0,2019,en,M Other specialised business services,yes,yes,-18.0
2447,5.0,2018,en,C Manufacturing,yes,yes,-21.3
2448,5.0,2018,en,C Manufacturing,yes,yes,-11.540000000000001
2449,5.0,2018,en,C Manufacturing,yes,yes,9.2
2450,5.0,2018,en,H Transportation and storage,yes,yes,-9.410000000000002
